"WorkerID","TrialName","AgeCategory","Hands","TrialOrder","NPlacements","LastPlace","FirstPlace","SuccessByOnline","Success","AvgAbsYOffset","FirstYOffset","AvgAbsXOffset","FirstXOffset","AvgTimeDiff","TookABreak","Age","MedianMotorErr","MedianMotorRT","Gender","IQ_BPVS","IQ_Ravens"
"OC29","Bridge","kids","1h",10,2,25.123,7.426,TRUE,TRUE,60.0068391982272,72.7636783964543,1.55477945291568,3.10955890583136,17.697,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Trap","kids","1h",2,4,103.954,31.144,FALSE,FALSE,35.25,36.25,25.375,99.25,24.27,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Unbox","kids","1h",15,1,17.333,17.333,TRUE,TRUE,0,0,0.25,0.25,NA,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","FallAlt","kids","1h",14,6,107.637,15.23,FALSE,FALSE,58.1744329149503,44.25,1.26142998951826,0,18.4814,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","TableCreative","kids","1h",4,3,81.555,25.042,TRUE,TRUE,39.1666666666667,63.75,15.75,0,28.2565,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Catapult","kids","1h",8,6,114.257,14.694,FALSE,FALSE,55.9653506067555,13.75,13.8084886417239,26.25,19.9126,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","SeeSaw","kids","1h",7,4,75.074,19.221,TRUE,TRUE,40.5,47.25,0,0,18.6176666666667,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Basic","kids","1h",6,6,116.612,14.44,FALSE,FALSE,171.529104827775,78.8488693241482,51.149046803308,228.073296642088,20.4344,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Balance","kids","1h",5,7,114.456,12.719,FALSE,FALSE,204.25,190.25,3.96428571428571,0,16.9561666666667,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","BalanceUnder","kids","1h",3,5,111.96,21.989,FALSE,FALSE,131.75,93.25,45.8,92.25,22.49275,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Gap","kids","1h",1,3,90.608,42.029,TRUE,FALSE,61.720718853197,54.3820506819236,29.5317222286104,7.26402843043745,24.2895,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","GoalMove","kids","1h",13,7,113.714,13.576,FALSE,FALSE,98.640327974814,77.7839404423406,19.0364408964783,5.2415054206429,16.6896666666667,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Falling_A","kids","1h",11,2,30.786,16.183,TRUE,TRUE,157.25,182.75,0,0,14.603,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OC29","Remove","kids","1h",12,7,116.081,11.361,FALSE,FALSE,57.6493036710256,76.9209576103497,5.91214571713195,14.4088249126015,17.4533333333333,FALSE,6.16,12.0940797111267,4.155,"Male",96,115
"OA12","Gap","adult","1h",0,2,33.307,11.327,TRUE,TRUE,48.960000991821,51.120002746582,0,0,21.98,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","FallAlt","adult","1h",7,5,57.427,10.253,TRUE,TRUE,52.6800003051758,56,0,0,11.7935,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Falling_A","adult","1h",13,1,9.199,9.199,TRUE,TRUE,45,45,0,0,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Bridge","adult","1h",10,1,8.694,8.694,TRUE,TRUE,50,50,1,1,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","TableCreative","adult","1h",5,2,31.871,16.643,TRUE,TRUE,35,21,0,0,15.228,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Basic","adult","1h",15,3,33.267,8.399,TRUE,TRUE,162.577692526338,36.3932199913643,86.0169577895261,206.228246617731,12.434,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Trap","adult","1h",6,3,38.259,11.351,TRUE,TRUE,75.692681551849,151.078044655547,6.15728264888412,15.4718479466524,13.454,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Catapult","adult","1h",11,1,6.504,6.504,TRUE,TRUE,383,383,9,9,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","GoalMove","adult","1h",9,4,35.952,8.982,TRUE,TRUE,96.6461760002831,83.2012998543549,325.041769259057,163.629223046898,8.99,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Remove","adult","1h",1,1,26.634,26.634,TRUE,TRUE,34.879997253418,34.879997253418,33,33,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Balance","adult","1h",4,8,115.507,8.13,TRUE,TRUE,73.4843049003336,95,12.4048428717104,0,15.3395714285714,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","Unbox","adult","1h",2,1,9.597,9.597,TRUE,TRUE,299.879997253418,299.879997253418,0,0,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","BalanceUnder","adult","1h",12,1,9.383,9.383,TRUE,TRUE,53,53,0,0,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA12","SeeSaw","adult","1h",14,3,39.155,11.495,TRUE,TRUE,43,42,0,0,13.83,FALSE,37,3.15527999219579,2.334,"Male",NA,NA
"OA14","Gap","adult","1h",0,7,288.253,21.708,TRUE,FALSE,34.2016415108203,47.0946991363781,12.744393478143,5.31714345088139,44.4241666666667,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","GoalMove","adult","1h",5,19,238.783,10.967,FALSE,FALSE,84.0955562753216,82.007168839854,68.8773555450901,2.53630419092332,12.6564444444444,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","SeeSaw","adult","1h",15,4,61.98,13.371,TRUE,TRUE,77.25,140,0,0,16.203,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Balance","adult","1h",2,16,267.467,18.737,TRUE,TRUE,103.713198152444,35.4111704391064,13.6688973546359,50.7023576741751,16.582,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Remove","adult","1h",6,5,102.418,16.238,TRUE,TRUE,95.0210189953954,118,57.1579390361703,16,21.545,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Falling_A","adult","1h",12,1,15.371,15.371,TRUE,TRUE,112,112,0,0,NA,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Bridge","adult","1h",11,3,46.142,9.361,TRUE,TRUE,84.0099128175026,96.0297384525078,2.01864315065332,6.05592945195997,18.3905,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","BalanceUnder","adult","1h",4,5,90.551,19.03,TRUE,TRUE,110.6,303,0,0,17.88025,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","TableCreative","adult","1h",1,15,399.159,22.664,FALSE,FALSE,39.4832878056253,60,14.0006288414736,0,26.8925,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","FallAlt","adult","1h",10,3,43.815,23.467,TRUE,TRUE,46.6666666666667,47,0,0,10.174,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Basic","adult","1h",13,3,36.333,8.297,TRUE,TRUE,122.145896051292,129.496494624763,31.9664111266322,34.1726860815347,14.018,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Catapult","adult","1h",3,1,13.521,13.521,TRUE,TRUE,271,271,0,0,NA,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Trap","adult","1h",8,1,11.775,11.775,TRUE,TRUE,86,86,0,0,NA,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA14","Unbox","adult","1h",14,2,19.068,10.423,TRUE,TRUE,177.5,176,0,0,8.645,FALSE,64,12.5718733776032,1.023,"Male",NA,NA
"OA18","SeeSaw","adult","1h",13,3,42.333,15.045,TRUE,TRUE,37,44,0,0,13.644,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","TableCreative","adult","1h",4,12,419.838,20.585,TRUE,TRUE,35.5833333333333,106,5.5,0,36.2957272727273,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","Trap","adult","1h",12,1,11.307,11.307,TRUE,TRUE,43,43,0,0,NA,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","Unbox","adult","1h",10,1,19.303,19.303,TRUE,TRUE,79,79,0,0,NA,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","BalanceUnder","adult","1h",11,5,71.703,20.146,TRUE,FALSE,93.4,136,2.2,0,12.88925,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","Basic","adult","1h",0,2,54.425,27.575,TRUE,TRUE,6.79967424869901,8.08413408374292,12.4880427382,10.9373578780051,26.85,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","Bridge","adult","1h",14,1,21.931,21.931,TRUE,TRUE,53,53,0,0,NA,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","Catapult","adult","1h",5,12,278.412,36.629,TRUE,TRUE,100.833333333333,57,14.8333333333333,32,21.9802727272727,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","FallAlt","adult","1h",15,5,65.031,17.998,TRUE,TRUE,52.4,43,0,0,11.75825,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
"OA18","Falling_A","adult","1h",9,8,139.428,19.77,TRUE,TRUE,140.625,247,4.375,0,17.094,FALSE,57,2.59264030340986,2.1175,NA,NA,NA
